"From.country","To.country","Average.Points"
"Azerbaijan","Ireland",3
"Azerbaijan","Israel",7
"Azerbaijan","Italy",4.5
"Azerbaijan","Latvia",5
"Azerbaijan","Lithuania",3.5
"Azerbaijan","Malta",8
"Azerbaijan","Moldova",5.57142857142857
"Azerbaijan","Montenegro",2
"Azerbaijan","Norway",5.71428571428571
"Azerbaijan","Poland",2
"Azerbaijan","Russia",7.81818181818182
"Azerbaijan","San Marino",4.2
"Azerbaijan","Serbia",2
"Azerbaijan","Slovenia",2
"Azerbaijan","Spain",1
"Azerbaijan","Sweden",4.5
"Azerbaijan","The Netherlands",2.5
"Azerbaijan","Ukraine",9.7
"Azerbaijan","United Kingdom",3.5
"Belarus","Albania",5
"Belarus","Armenia",5.9
"Belarus","Australia",6
"Belarus","Austria",7
"Belarus","Azerbaijan",7.14285714285714
"Belarus","Belgium",6.33333333333333
"Belarus","Bosnia & Herzegovina",4.2
"Belarus","Bulgaria",2
"Belarus","Croatia",4.2
"Belarus","Cyprus",5
"Belarus","Denmark",3.6
"Belarus","Estonia",3.71428571428571
"Belarus","F.Y.R. Macedonia",3
"Belarus","Finland",5.75
"Belarus","France",7
"Belarus","Georgia",7
"Belarus","Germany",8
"Belarus","Greece",5.5
"Belarus","Hungary",3
"Belarus","Iceland",4.33333333333333
"Belarus","Ireland",2.5
"Belarus","Israel",5.44444444444444
"Belarus","Italy",2
"Belarus","Latvia",4.57142857142857
"Belarus","Lithuania",5.77777777777778
"Belarus","Malta",4.375
"Belarus","Moldova",7.54545454545455
"Belarus","Montenegro",5
"Belarus","Norway",4.625
"Belarus","Poland",5.83333333333333
"Belarus","Russia",10.8666666666667
"Belarus","Serbia",5.875
"Belarus","Slovenia",3.5
"Belarus","Spain",2
"Belarus","Sweden",6.22222222222222
"Belarus","Switzerland",5.75
"Belarus","The Netherlands",3.5
"Belarus","Ukraine",10.375
"Belarus","United Kingdom",2
"Belgium","Albania",5.625
"Belgium","Armenia",8.8
"Belgium","Australia",4
"Belgium","Austria",4.88235294117647
"Belgium","Azerbaijan",4.66666666666667
"Belgium","Bosnia & Herzegovina",3.71428571428571
"Belgium","Bulgaria",2.33333333333333
"Belgium","Croatia",3.8
"Belgium","Cyprus",4.33333333333333
"Belgium","Denmark",6.4375
"Belgium","Estonia",3
"Belgium","Finland",4.55555555555556
"Belgium","France",6.29411764705882
"Belgium","Georgia",3
"Belgium","Germany",6.38095238095238
"Belgium","Greece",6.09090909090909
"Belgium","Hungary",6.42857142857143
"Belgium","Iceland",6.5
"Belgium","Ireland",5.88461538461539
"Belgium","Israel",5.31818181818182
"Belgium","Italy",5.77777777777778
"Belgium","Latvia",7.5
"Belgium","Lithuania",5.66666666666667
"Belgium","Malta",6.625
"Belgium","Moldova",2.85714285714286
"Belgium","Montenegro",5
"Belgium","Norway",5.22727272727273
"Belgium","Poland",4.25
"Belgium","Russia",5.53846153846154
"Belgium","Serbia",4.83333333333333
"Belgium","Slovenia",3.33333333333333
"Belgium","Spain",5.26086956521739
"Belgium","Sweden",6.07692307692308
"Belgium","Switzerland",6.53333333333333
"Belgium","The Netherlands",7.16
"Belgium","Ukraine",5.25
"Belgium","United Kingdom",7.35
"Bosnia & Herzegovina","Albania",4.77777777777778
"Bosnia & Herzegovina","Armenia",4.33333333333333
"Bosnia & Herzegovina","Austria",6.33333333333333
"Bosnia & Herzegovina","Azerbaijan",5.6
"Bosnia & Herzegovina","Belarus",2.66666666666667
"Bosnia & Herzegovina","Belgium",7.33333333333333
"Bosnia & Herzegovina","Bulgaria",3.25
"Bosnia & Herzegovina","Croatia",9.46153846153846
"Bosnia & Herzegovina","Denmark",2
"Bosnia & Herzegovina","Estonia",4.5
"Bosnia & Herzegovina","F.Y.R. Macedonia",8.76923076923077
"Bosnia & Herzegovina","Finland",4.75
"Bosnia & Herzegovina","France",6.14285714285714
"Bosnia & Herzegovina","Georgia",2.5
"Bosnia & Herzegovina","Germany",5.2
"Bosnia & Herzegovina","Greece",5.25
"Bosnia & Herzegovina","Hungary",1.66666666666667
"Bosnia & Herzegovina","Iceland",3
"Bosnia & Herzegovina","Ireland",2.75
"Bosnia & Herzegovina","Israel",4.5
"Bosnia & Herzegovina","Italy",6
"Bosnia & Herzegovina","Latvia",5
"Bosnia & Herzegovina","Lithuania",2
"Bosnia & Herzegovina","Malta",4
"Bosnia & Herzegovina","Moldova",5
"Bosnia & Herzegovina","Montenegro",10.1666666666667
"Bosnia & Herzegovina","Norway",4.5
"Bosnia & Herzegovina","Poland",6
"Bosnia & Herzegovina","Russia",3.875
"Bosnia & Herzegovina","Serbia",11.2727272727273
"Bosnia & Herzegovina","Slovenia",6.76923076923077
"Bosnia & Herzegovina","Spain",5.33333333333333
"Bosnia & Herzegovina","Sweden",5.66666666666667
"Bosnia & Herzegovina","Switzerland",2.66666666666667
"Bosnia & Herzegovina","The Netherlands",2.66666666666667
"Bosnia & Herzegovina","Ukraine",4.375
"Bosnia & Herzegovina","United Kingdom",4
"Bulgaria","Albania",3
"Bulgaria","Armenia",7.8
"Bulgaria","Austria",7.5
"Bulgaria","Azerbaijan",9.14285714285714
"Bulgaria","Belarus",4.2
"Bulgaria","Belgium",6
"Bulgaria","Bosnia & Herzegovina",5.16666666666667
"Bulgaria","Croatia",4.75
"Bulgaria","Cyprus",6
"Bulgaria","Denmark",5
"Bulgaria","Estonia",3.5
"Bulgaria","F.Y.R. Macedonia",7.63636363636364
"Bulgaria","Finland",5
"Bulgaria","Georgia",4.5
"Bulgaria","Germany",7.5
"Bulgaria","Greece",9.1
"Bulgaria","Hungary",5.6
"Bulgaria","Iceland",5.5
"Bulgaria","Ireland",3.66666666666667
"Bulgaria","Israel",3
"Bulgaria","Latvia",1
"Bulgaria","Lithuania",3.4
"Bulgaria","Malta",4
"Bulgaria","Moldova",3.66666666666667
"Bulgaria","Montenegro",4
"Bulgaria","Norway",2.28571428571429
"Bulgaria","Russia",6.85714285714286
"Bulgaria","Serbia",7.66666666666667
"Bulgaria","Slovenia",6.5
"Bulgaria","Spain",2.5
"Bulgaria","Sweden",6.5
"Bulgaria","Switzerland",2
"Bulgaria","The Netherlands",5
"Bulgaria","Ukraine",6.09090909090909
"Bulgaria","United Kingdom",9.5
"Croatia","Albania",6.25
"Croatia","Austria",3.5
"Croatia","Azerbaijan",8.83333333333333
"Croatia","Belarus",2
"Croatia","Belgium",3
"Croatia","Bosnia & Herzegovina",8.9
"Croatia","Bulgaria",4.33333333333333
"Croatia","Cyprus",5.2
"Croatia","Czech Republic",2
"Croatia","Denmark",6.375
"Croatia","Estonia",4.6
"Croatia","F.Y.R. Macedonia",7.78571428571429
"Croatia","Finland",7.66666666666667
"Croatia","France",5.2
"Croatia","Georgia",5.33333333333333
"Croatia","Germany",3.55555555555556
"Croatia","Greece",5.5
"Croatia","Hungary",5.25
"Croatia","Iceland",3.5
"Croatia","Ireland",4
"Croatia","Israel",4.66666666666667
"Croatia","Italy",6.66666666666667
"Croatia","Latvia",4.42857142857143
"Croatia","Lithuania",3.33333333333333
"Croatia","Malta",6.4
"Croatia","Moldova",2.5
"Croatia","Montenegro",9.4
"Croatia","Norway",5.875
"Croatia","Poland",5
"Croatia","Russia",6.25
"Croatia","San Marino",1
"Croatia","Serbia",10.9230769230769
"Croatia","Slovenia",6.55555555555556
"Croatia","Spain",5.14285714285714
"Croatia","Sweden",3.66666666666667
"Croatia","Switzerland",2.66666666666667
"Croatia","The Netherlands",4.2
"Croatia","Ukraine",6
"Croatia","United Kingdom",6.4
"Cyprus","Albania",5
"Cyprus","Armenia",8.57142857142857
"Cyprus","Australia",4
"Cyprus","Austria",4.7
"Cyprus","Azerbaijan",8.85714285714286
"Cyprus","Belarus",5.66666666666667
"Cyprus","Belgium",4.8
"Cyprus","Bosnia & Herzegovina",3.5
"Cyprus","Bulgaria",9
"Cyprus","Croatia",4.55555555555556
"Cyprus","Denmark",4.76470588235294
"Cyprus","Estonia",4
"Cyprus","F.Y.R. Macedonia",2.5
"Cyprus","Finland",4.5
"Cyprus","France",4.5625
"Cyprus","Georgia",6.5
"Cyprus","Germany",6.5
"Cyprus","Greece",11.2
"Cyprus","Hungary",5.5
"Cyprus","Iceland",4.75
"Cyprus","Ireland",6.66666666666667
"Cyprus","Israel",4.33333333333333
"Cyprus","Italy",6.09090909090909
"Cyprus","Latvia",2.66666666666667
"Cyprus","Lithuania",3.71428571428571
"Cyprus","Malta",4.54545454545455
"Cyprus","Moldova",4.71428571428571
"Cyprus","Montenegro",10
"Cyprus","Norway",5.71428571428571
"Cyprus","Poland",2.5
"Cyprus","Russia",6.17647058823529
"Cyprus","Serbia",6.2
"Cyprus","Slovenia",4.5
"Cyprus","Spain",6.58823529411765
"Cyprus","Sweden",5.94444444444444
"Cyprus","Switzerland",4.4
"Cyprus","The Netherlands",3.88888888888889
"Cyprus","Ukraine",7
"Cyprus","United Kingdom",3.80952380952381
"Czech Republic","Albania",1
"Czech Republic","Armenia",9.6
"Czech Republic","Azerbaijan",10.6666666666667
"Czech Republic","Belarus",2.66666666666667
"Czech Republic","Belgium",6
"Czech Republic","Bosnia & Herzegovina",4.33333333333333
"Czech Republic","Bulgaria",6.33333333333333
"Czech Republic","Croatia",3
"Czech Republic","Denmark",6
"Czech Republic","F.Y.R. Macedonia",4.5
"Czech Republic","Georgia",4.25
"Czech Republic","Greece",4
"Czech Republic","Hungary",4.5
"Czech Republic","Iceland",6
"Czech Republic","Israel",3.33333333333333
"Czech Republic","Italy",7
"Czech Republic","Latvia",4
"Czech Republic","Malta",6.5
"Czech Republic","Norway",3
"Czech Republic","Russia",7.25
"Czech Republic","Serbia",7.25
"Czech Republic","Slovenia",4
"Czech Republic","Sweden",8
"Czech Republic","Ukraine",9.25
"Czech Republic","United Kingdom",6
"Denmark","Albania",5.16666666666667
"Denmark","Armenia",3.5
"Denmark","Australia",8
"Denmark","Austria",4.86666666666667
"Denmark","Azerbaijan",5.75
"Denmark","Belarus",1
"Denmark","Belgium",6.4
"Denmark","Bosnia & Herzegovina",6.33333333333333
"Denmark","Bulgaria",4
"Denmark","Croatia",2.5
"Denmark","Cyprus",5.28571428571429
"Denmark","Estonia",4.46153846153846
"Denmark","F.Y.R. Macedonia",1.5
"Denmark","Finland",6.2
"Denmark","France",4.71428571428571
"Denmark","Germany",6.36
"Denmark","Greece",3.23076923076923
"Denmark","Hungary",5.14285714285714
"Denmark","Iceland",7.13636363636364
"Denmark","Ireland",6.72
"Denmark","Israel",4.14285714285714
"Denmark","Italy",3.66666666666667
"Denmark","Latvia",5
"Denmark","Lithuania",3
"Denmark","Malta",5.83333333333333
"Denmark","Moldova",6.33333333333333
"Denmark","Montenegro",7.33333333333333
"Denmark","Norway",6.73913043478261
"Denmark","Poland",2.75
"Denmark","Russia",6.4
"Denmark","Serbia",7.25
"Denmark","Slovenia",7.5
"Denmark","Spain",3.75
"Denmark","Sweden",9.47058823529412
"Denmark","Switzerland",5.17647058823529
"Denmark","The Netherlands",6.53333333333333
"Denmark","Ukraine",4.63636363636364
"Denmark","United Kingdom",5.8695652173913
"Estonia","Albania",1
"Estonia","Armenia",4
"Estonia","Australia",5
"Estonia","Austria",4.66666666666667
"Estonia","Azerbaijan",6.6
"Estonia","Belarus",4.8
"Estonia","Belgium",4.83333333333333
"Estonia","Bosnia & Herzegovina",1
"Estonia","Bulgaria",1
"Estonia","Croatia",3.4
"Estonia","Cyprus",4.33333333333333
"Estonia","Czech Republic",1
"Estonia","Denmark",6.66666666666667
"Estonia","Finland",8.28571428571429
"Estonia","France",5.375
"Estonia","Georgia",5.14285714285714
"Estonia","Germany",4.2
"Estonia","Greece",4
"Estonia","Hungary",5.5
"Estonia","Iceland",5.46153846153846
"Estonia","Ireland",5.46153846153846
"Estonia","Israel",4
"Estonia","Italy",5.33333333333333
"Estonia","Latvia",7.73333333333333
"Estonia","Lithuania",4.81818181818182
"Estonia","Malta",4.5
"Estonia","Moldova",4
"Estonia","Montenegro",1
"Estonia","Norway",6.64705882352941
"Estonia","Poland",6.33333333333333
"Estonia","Russia",8.43478260869565
"Estonia","San Marino",4.5
"Estonia","Serbia",1
"Estonia","Slovenia",4
"Estonia","Spain",3.25
"Estonia","Sweden",8.14285714285714
"Estonia","Switzerland",8.66666666666667
"Estonia","The Netherlands",7.5
"Estonia","Ukraine",6.53333333333333
"Estonia","United Kingdom",4.88888888888889
"F.Y.R. Macedonia","Albania",11.3076923076923
"F.Y.R. Macedonia","Armenia",3.16666666666667
"F.Y.R. Macedonia","Austria",3.66666666666667
"F.Y.R. Macedonia","Azerbaijan",4.8
"F.Y.R. Macedonia","Belarus",4.88888888888889
"F.Y.R. Macedonia","Belgium",3.25
"F.Y.R. Macedonia","Bosnia & Herzegovina",7.25
"F.Y.R. Macedonia","Bulgaria",5.66666666666667
"F.Y.R. Macedonia","Croatia",7.46153846153846
"F.Y.R. Macedonia","Cyprus",4
"F.Y.R. Macedonia","Czech Republic",5
"F.Y.R. Macedonia","Denmark",5.66666666666667
"F.Y.R. Macedonia","Estonia",4
"F.Y.R. Macedonia","Finland",4.5
"F.Y.R. Macedonia","France",1.33333333333333
"F.Y.R. Macedonia","Georgia",3.66666666666667
"F.Y.R. Macedonia","Germany",8
"F.Y.R. Macedonia","Greece",5
"F.Y.R. Macedonia","Hungary",5
"F.Y.R. Macedonia","Iceland",2.33333333333333
"F.Y.R. Macedonia","Ireland",7
"F.Y.R. Macedonia","Israel",3.83333333333333
"F.Y.R. Macedonia","Italy",5
"F.Y.R. Macedonia","Latvia",4
"F.Y.R. Macedonia","Lithuania",3.5
"F.Y.R. Macedonia","Malta",6.1
"F.Y.R. Macedonia","Moldova",5.83333333333333
"F.Y.R. Macedonia","Montenegro",8.14285714285714
"F.Y.R. Macedonia","Norway",5.8
"F.Y.R. Macedonia","Poland",3.33333333333333
"F.Y.R. Macedonia","Russia",5.88888888888889
"F.Y.R. Macedonia","San Marino",5
"F.Y.R. Macedonia","Serbia",10.0833333333333
"F.Y.R. Macedonia","Slovenia",5.18181818181818
"F.Y.R. Macedonia","Spain",2.5
"F.Y.R. Macedonia","Sweden",4.18181818181818
"F.Y.R. Macedonia","Switzerland",1.66666666666667
"F.Y.R. Macedonia","The Netherlands",3.75
"F.Y.R. Macedonia","Ukraine",4.90909090909091
"F.Y.R. Macedonia","United Kingdom",6.25
"Finland","Albania",4.8
"Finland","Armenia",2.5
"Finland","Australia",5
"Finland","Austria",4.8
"Finland","Azerbaijan",4
"Finland","Belarus",5.5
"Finland","Belgium",5.8
"Finland","Bosnia & Herzegovina",6.625
"Finland","Bulgaria",3.5
"Finland","Croatia",2.33333333333333
"Finland","Cyprus",6.3
"Finland","Denmark",6.06666666666667
"Finland","Estonia",9
"Finland","F.Y.R. Macedonia",1
"Finland","France",5.4
"Finland","Georgia",4
"Finland","Germany",5.33333333333333
"Finland","Greece",4.42105263157895
"Finland","Hungary",8.8
"Finland","Iceland",7.625
"Finland","Ireland",5.08695652173913
"Finland","Israel",6.2
"Finland","Italy",7.05882352941176
"Finland","Latvia",6
"Finland","Lithuania",6
"Finland","Malta",4.1
"Finland","Moldova",3.66666666666667
"Finland","Montenegro",10
"Finland","Norway",7.47619047619048
"Finland","Poland",8
"Finland","Russia",6.13333333333333
"Finland","San Marino",1
"Finland","Serbia",7.28571428571429
"Finland","Slovenia",3
"Finland","Spain",5.71428571428571
"Finland","Sweden",7.44444444444444
"Finland","Switzerland",6.33333333333333
"Finland","The Netherlands",5.72727272727273
"Finland","Ukraine",4.42857142857143
"Finland","United Kingdom",6.11764705882353
"France","Albania",2.8
"France","Armenia",9.27272727272727
"France","Australia",2
"France","Austria",5.1
"France","Azerbaijan",5.83333333333333
"France","Belarus",1
"France","Belgium",6.8
"France","Bosnia & Herzegovina",5.41666666666667
"France","Bulgaria",4.28571428571429
"France","Croatia",6.25
"France","Cyprus",4.33333333333333
"France","Denmark",6.11111111111111
"France","Estonia",6.33333333333333
"France","Finland",4.54545454545455
"France","Georgia",4
"France","Germany",6.35294117647059
"France","Greece",5.2
"France","Hungary",3.1
"France","Iceland",4
"France","Ireland",5
"France","Israel",6.55555555555556
"France","Italy",6
"France","Latvia",6
"France","Lithuania",3.33333333333333
"France","Malta",4.2
"France","Moldova",4.16666666666667
"France","Montenegro",7.66666666666667
"France","Norway",4.54545454545455
"France","Poland",4.54545454545455
"France","Russia",4.22222222222222
"France","San Marino",5
"France","Serbia",9.2
"France","Slovenia",3.33333333333333
"France","Spain",6.09090909090909
"France","Sweden",4.81481481481481
"France","Switzerland",6.42857142857143
"France","The Netherlands",6.66666666666667
"France","Ukraine",2.6
"France","United Kingdom",6.95238095238095
"Georgia","Albania",3
"Georgia","Armenia",10.6666666666667
"Georgia","Austria",7.66666666666667
"Georgia","Azerbaijan",9.8
"Georgia","Belarus",7.57142857142857
"Georgia","Belgium",9
"Georgia","Bosnia & Herzegovina",2
"Georgia","Bulgaria",3.5
"Georgia","Croatia",4.5
"Georgia","Cyprus",2
"Georgia","Denmark",4.33333333333333
"Georgia","Estonia",3.66666666666667
"Georgia","F.Y.R. Macedonia",1.33333333333333
"Georgia","Finland",1
"Georgia","France",2
"Georgia","Germany",3.5
"Georgia","Greece",3.875
"Georgia","Hungary",4.75
"Georgia","Iceland",1
"Georgia","Israel",3.6
"Georgia","Italy",5.25
"Georgia","Latvia",4.8
"Georgia","Lithuania",7.55555555555556
"Georgia","Malta",5.4
"Georgia","Moldova",4
"Georgia","Norway",5.6
"Georgia","Poland",5
"Georgia","Russia",6
"Georgia","San Marino",1
"Georgia","Serbia",8
"Georgia","Slovenia",4
"Georgia","Spain",2
"Georgia","Sweden",6
"Georgia","Switzerland",1.5
"Georgia","The Netherlands",1
"Georgia","Ukraine",8.2
"Georgia","United Kingdom",3
"Germany","Albania",4.14285714285714
"Germany","Armenia",6.33333333333333
"Germany","Australia",7
"Germany","Austria",5.5
"Germany","Azerbaijan",4.33333333333333
"Germany","Belgium",5.66666666666667
"Germany","Bosnia & Herzegovina",6.07692307692308
"Germany","Bulgaria",3.5
"Germany","Croatia",4.14285714285714
"Germany","Cyprus",3.81818181818182
"Germany","Denmark",6.88888888888889
"Germany","Estonia",5.11111111111111
"Germany","F.Y.R. Macedonia",2.5
"Germany","Finland",4.55555555555556
"Germany","France",6.76470588235294
"Germany","Georgia",1
"Germany","Greece",6.72727272727273
"Germany","Hungary",7.16666666666667
"Germany","Iceland",5.61538461538461
"Germany","Ireland",5.75
"Germany","Israel",5.41666666666667
"Germany","Italy",4.42857142857143
"Germany","Latvia",8
"Germany","Lithuania",1
"Germany","Malta",4.5
"Germany","Moldova",3.33333333333333
"Germany","Montenegro",6.75
"Germany","Norway",5.38095238095238
"Germany","Poland",7.07142857142857
"Germany","Russia",5.71428571428571
"Germany","Serbia",8
"Germany","Slovenia",3.4
"Germany","Spain",6.5
"Germany","Sweden",6.44
"Germany","Switzerland",6.23529411764706
"Germany","The Netherlands",5.66666666666667
"Germany","Ukraine",5.66666666666667
"Germany","United Kingdom",6.34782608695652
"Greece","Albania",9.2
"Greece","Armenia",8
"Greece","Australia",5
"Greece","Austria",5.5
"Greece","Azerbaijan",6.7
"Greece","Belarus",5.83333333333333
"Greece","Belgium",6.6
"Greece","Bosnia & Herzegovina",5
"Greece","Bulgaria",6.8
"Greece","Croatia",3.875
"Greece","Cyprus",11
"Greece","Denmark",4.88888888888889
"Greece","Estonia",4.8
"Greece","F.Y.R. Macedonia",4
"Greece","Finland",6.30769230769231
"Greece","France",6.3
"Greece","Georgia",5
"Greece","Germany",3.77777777777778
"Greece","Hungary",4
"Greece","Iceland",4.8
"Greece","Ireland",8
"Greece","Israel",4
"Greece","Italy",5.76923076923077
"Greece","Latvia",3.75
"Greece","Lithuania",2.75
"Greece","Malta",4.8
"Greece","Moldova",4.9
"Greece","Montenegro",8
"Greece","Norway",5.4
"Greece","Poland",3.54545454545455
"Greece","Russia",5.70588235294118
"Greece","San Marino",2
"Greece","Serbia",6.44444444444444
"Greece","Slovenia",4.25
"Greece","Spain",5.95652173913043
"Greece","Sweden",5
"Greece","Switzerland",4.86666666666667
"Greece","The Netherlands",4.92307692307692
"Greece","Ukraine",5.45454545454545
"Greece","United Kingdom",6
"Hungary","Albania",6
"Hungary","Armenia",6
"Hungary","Australia",8
"Hungary","Austria",5.25
"Hungary","Azerbaijan",9.125
"Hungary","Belarus",3
"Hungary","Belgium",6.33333333333333
"Hungary","Bosnia & Herzegovina",1
"Hungary","Bulgaria",5.5
"Hungary","Croatia",6.5
"Hungary","Cyprus",6
"Hungary","Denmark",5.22222222222222
"Hungary","Estonia",4.83333333333333
"Hungary","Finland",7.25
"Hungary","France",6
"Hungary","Georgia",2.83333333333333
"Hungary","Germany",7.66666666666667
"Hungary","Greece",6.3
"Hungary","Iceland",7.72727272727273
"Hungary","Ireland",8
"Hungary","Israel",5.2
"Hungary","Italy",3.5
"Hungary","Latvia",3
"Hungary","Lithuania",5
"Hungary","Malta",6
"Hungary","Moldova",4
"Hungary","Montenegro",3
"Hungary","Norway",5.6
"Hungary","Poland",4
"Hungary","Russia",5.88888888888889
"Hungary","San Marino",4.33333333333333
"Hungary","Serbia",6.5
"Hungary","Slovenia",5.75
"Hungary","Spain",4.33333333333333
"Hungary","Sweden",6.88888888888889
"Hungary","Switzerland",4.83333333333333
"Hungary","The Netherlands",9.2
"Hungary","Ukraine",5.625
"Hungary","United Kingdom",6.6
"Iceland","Albania",4.83333333333333
"Iceland","Armenia",2.83333333333333
"Iceland","Australia",8
"Iceland","Austria",6.57142857142857
"Iceland","Azerbaijan",6
"Iceland","Belarus",2.5
"Iceland","Belgium",6.85714285714286
"Iceland","Bosnia & Herzegovina",3.6
"Iceland","Bulgaria",5
"Iceland","Croatia",3.75
"Iceland","Cyprus",7.6
"Iceland","Denmark",9.16
"Iceland","Estonia",5.58333333333333
"Iceland","F.Y.R. Macedonia",1
"Iceland","Finland",7.61111111111111
"Iceland","France",6.61538461538461
"Iceland","Georgia",2.66666666666667
"Iceland","Germany",5.54545454545455
"Iceland","Greece",4.75
"Iceland","Hungary",7.4
"Iceland","Ireland",5.07692307692308
"Iceland","Israel",4.44444444444444
"Iceland","Italy",4.33333333333333
"Iceland","Latvia",5.22222222222222
"Iceland","Lithuania",5.25
"Iceland","Malta",4.44444444444444
"Iceland","Moldova",8
"Iceland","Montenegro",7
"Iceland","Norway",7.56521739130435
"Iceland","Poland",3.71428571428571
"Iceland","Russia",4
"Iceland","San Marino",4
"Iceland","Serbia",5.28571428571429
"Iceland","Slovenia",2.33333333333333
"Iceland","Spain",2.88888888888889
"Iceland","Sweden",7.03571428571429
"Iceland","Switzerland",5.30769230769231
"Iceland","The Netherlands",5.6
"Iceland","Ukraine",6.66666666666667
"Iceland","United Kingdom",4.625
"Ireland","Albania",2.66666666666667
"Ireland","Armenia",2
"Ireland","Australia",5
"Ireland","Austria",6.06666666666667
"Ireland","Azerbaijan",4.5
"Ireland","Belarus",3.33333333333333
"Ireland","Belgium",6.6
"Ireland","Bosnia & Herzegovina",3.42857142857143
"Ireland","Bulgaria",1
"Ireland","Croatia",3.71428571428571
"Ireland","Cyprus",4.5
"Ireland","Denmark",7.36
"Ireland","Estonia",5.75
"Ireland","Finland",6.69230769230769
"Ireland","France",6.47368421052632
"Ireland","Georgia",4.33333333333333
"Ireland","Germany",5.29166666666667
"Ireland","Greece",4.28571428571429
"Ireland","Hungary",5.8
